source,date,title,description
Phys.org,2019-03-05T13:05:42Z,Scientists develop a tunable bio-imaging device using terahertz plasmonics - Phys.org,"Researchers at Tokyo Institute of Technology (Tokyo Tech) have developed an easy-to-use, tunable biosensor tailored for the terahertz range. Images of mouse organs obtained using the new device verify that the sensor is capable of distinguishing between diffe…"
Phys.org,2019-03-05T12:59:08Z,The random anti-laser - Phys.org,"The laser is the perfect light source—as long as it is provided with energy, it generates light of a specific, well-defined colour. However, it is also possible to create its opposite—an object that perfectly absorbs light of a particular colour and dissipate…"
The Times of India,2019-03-05T12:23:00Z,INNOVATION: Researchers find way to turn algae into fuel - ETEnergyworld.com,"This technology could also be applied beyond algae and include a variety of microorganisms such as bacteria, fungi, or any microbial-derived oil."
Space.com,2019-03-05T11:55:00Z,Voyager 1's Historic Flyby of Jupiter in Photos - Space.com,
Express.co.uk,2019-03-05T11:26:00Z,Planet Nine BREAKTHROUGH: Evidence of mystery planet bigger than Earth GROWS - Express.co.uk,PLANET Nine is a hypothetical Super-Earth lurking on the outer reaches of the solar system and astronomers are now increasingly confident of discovering Planet Nine within the next decade.
Wired.co.uk,2019-03-05T10:05:43Z,What's next for the historic SpaceX Crew Dragon human spacecraft? - Wired.co.uk,Crew Dragon’s first test flight could herald an exciting future of commercial human spaceflight
The New York Times,2019-03-05T10:00:11Z,"On Dakar’s Streets, Working Out Is a Way of Life. Pollution Is Spoiling the Rush. - The New York Times","Every evening, thousands of runners, wrestlers, soccer players and fitness fanatics exercise on the beaches and streets of Senegal’s capital. With every breath, they inhale increasingly dangerous air."
Phys.org,2019-03-05T08:48:39Z,Biologists experimentally trigger adaptive radiation - Phys.org,"When naturalist Charles Darwin stepped onto the Galapagos Islands in 1835, he encountered a bird that sparked a revolutionary theory on how new species originate. From island to island, finches had wildly varied beak designs that reflected their varied diets.…"
Lowyinterpreter.org,2019-03-05T08:36:34Z,Breaking Russia's space stranglehold | The Interpreter - The Interpreter,America’s new spacecraft represents a significant strategic shift in space.
The New York Times,2019-03-05T07:30:08Z,When Plasma Becomes Another Fruit of the Vine - The New York Times,A parlor trick with grapes leads to new findings about water and microwaves.
